AUSTRALIAN BUREAU OF STATISTICS  2001 Census of Population and Housing,,,,,,,,,
"Western Australia (STATE 5) ,  2532422.2 sq. Kms",,,,,,,,,
,,,,,,,,,
B13 WEEKLY INDIVIDUAL INCOME BY AGE BY SEX (1 of 2),,,,,,,,,
Persons aged 15 years and over ,,,,,,,,,
,,,,,,,,,
,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75 years,
,years,years,years,years,years,years,years,and over,Total
,,,,,MALES,,,,
,,,,,,,,,
Negative/Nil income,"20,473","3,706","3,450","3,337","3,764","3,037",756,353,"38,876"
$1-$39       ,"5,220",593,318,388,496,473,155,60,"7,703"
$40-$79   ,"7,095","1,102",455,450,569,634,340,122,"10,767"
$80-$119   ,"5,513","2,773","1,113",909,"1,096","1,263",762,355,"13,784"
$120-$159  ,"4,170","4,079","4,328","3,367","3,314","4,500","4,018","2,054","29,830"
$160-$199  ,"3,425","4,905","6,535","5,815","6,015","8,960","12,464","7,342","55,461"
$200-$299,"6,811","5,834","6,752","6,964","7,014","8,398","13,145","9,406","64,324"
$300-$399 ,"4,601","6,280","6,713","6,539","6,299","6,441","6,862","4,377","48,112"
$400-$499  ,"2,372","8,102","10,476","9,207","8,761","6,910","3,837","2,403","52,068"
$500-$599  ,"1,067","7,438","13,998","12,341","11,426","7,652","2,675","1,690","58,287"
$600-$699  ,435,"4,741","12,672","10,919","9,770","5,752","1,720","1,034","47,043"
$700-$799  ,216,"3,210","12,147","11,464","9,555","5,033","1,184",657,"43,466"
$800-$999  ,185,"3,224","17,737","19,195","16,427","7,188","1,300",768,"66,024"
"$1,000-$1,499  ",123,"2,070","18,700","25,591","22,442","8,416","1,241",560,"79,143"
"$1,500 or more ",92,596,"7,987","15,721","14,993","5,790","1,002",418,"46,599"
Not stated,"8,068","4,604","9,063","8,090","6,851","4,720","4,004","4,354","49,754"
Overseas visitors,917,"1,676","1,998","1,110","1,078",727,395,168,"8,069"
,,,,,,,,,
Total,"70,783","64,933","134,442","141,407","129,870","85,894","55,860","36,121","719,310"
,,,,,,,,,
,,,,,FEMALES,,,,
,,,,,,,,,
Negative/Nil income,"16,816","3,569","8,317","9,717","11,033","6,797","1,156",647,"58,052"
$1-$39       ,"5,561",637,"2,242","2,942","2,001","1,330",315,218,"15,246"
$40-$79   ,"8,562","1,638","5,463","5,150","2,470","1,623",806,485,"26,197"
$80-$119   ,"6,606","3,258","6,534","5,789","3,177","2,473","1,700","1,075","30,612"
$120-$159  ,"5,072","4,155","6,582","6,737","5,787","6,367","4,857","2,917","42,474"
$160-$199  ,"3,627","4,766","7,198","8,389","9,032","13,527","14,223","9,261","70,023"
$200-$299,"6,080","7,933","13,512","17,215","14,707","14,018","17,775","20,573","111,813"
$300-$399 ,"4,437","8,154","14,699","17,664","13,678","8,043","5,781","4,821","77,277"
$400-$499  ,"1,656","8,019","12,962","15,833","13,610","5,932","2,653","2,534","63,199"
$500-$599  ,614,"6,908","12,280","12,492","12,005","4,623","1,422","1,124","51,468"
$600-$699  ,206,"4,324","10,088","8,859","8,644","3,175",778,535,"36,609"
$700-$799  ,80,"2,135","8,418","7,045","6,800","2,334",536,369,"27,717"
$800-$999  ,58,"1,238","9,801","9,051","9,486","2,925",530,405,"33,494"
"$1,000-$1,499  ",28,508,"5,893","6,615","6,607","2,221",455,345,"22,672"
"$1,500 or more ",56,105,"1,683","2,570","2,294",927,329,255,"8,219"
Not stated,"6,954","3,389","7,452","8,045","7,256","5,545","5,163","9,215","53,019"
Overseas visitors,"1,409","2,063","2,113",996,"1,167",820,528,251,"9,347"
,,,,,,,,,
Total,"67,822","62,799","135,237","145,109","129,754","82,680","59,007","55,030","737,438"
,,,,,,,,,
,,,,,,,,,
