region_id,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_199_15_19_yrs,M_1_199_20_24_yrs,M_1_199_25_34_yrs,M_1_199_35_44_yrs,M_1_199_45_54_yrs,M_1_199_55_64_yrs,M_1_199_65_74_yrs,M_1_199_75_84_yrs,M_1_199_85ov,M_1_199_Tot,M_200_299_15_19_yrs,M_200_299_20_24_yrs,M_200_299_25_34_yrs,M_200_299_35_44_yrs,M_200_299_45_54_yrs,M_200_299_55_64_yrs,M_200_299_65_74_yrs,M_200_299_75_84_yrs,M_200_299_85ov,M_200_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_599_15_19_yrs,M_400_599_20_24_yrs,M_400_599_25_34_yrs,M_400_599_35_44_yrs,M_400_599_45_54_yrs,M_400_599_55_64_yrs,M_400_599_65_74_yrs,M_400_599_75_84_yrs,M_400_599_85ov,M_400_599_Tot,M_600_799_15_19_yrs,M_600_799_20_24_yrs,M_600_799_25_34_yrs,M_600_799_35_44_yrs,M_600_799_45_54_yrs,M_600_799_55_64_yrs,M_600_799_65_74_yrs,M_600_799_75_84_yrs,M_600_799_85ov,M_600_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1999_15_19_yrs,M_1500_1999_20_24_yrs,M_1500_1999_25_34_yrs,M_1500_1999_35_44_yrs,M_1500_1999_45_54_yrs,M_1500_1999_55_64_yrs,M_1500_1999_65_74_yrs,M_1500_1999_75_84_yrs,M_1500_1999_85ov,M_1500_1999_Tot,M_2000_more_15_19_yrs,M_2000_more_20_24_yrs,M_2000_more_25_34_yrs,M_2000_more_35_44_yrs,M_2000_more_45_54_yrs,M_2000_more_55_64_yrs,M_2000_more_65_74_yrs,M_2000_more_75_84_yrs,M_2000_more_85ov,M_2000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_199_15_19_yrs,F_1_199_20_24_yrs,F_1_199_25_34_yrs,F_1_199_35_44_yrs,F_1_199_45_54_yrs,F_1_199_55_64_yrs,F_1_199_65_74_yrs,F_1_199_75_84_yrs,F_1_199_85ov,F_1_199_Tot,F_200_299_15_19_yrs,F_200_299_20_24_yrs,F_200_299_25_34_yrs,F_200_299_35_44_yrs,F_200_299_45_54_yrs,F_200_299_55_64_yrs,F_200_299_65_74_yrs,F_200_299_75_84_yrs,F_200_299_85ov,F_200_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_599_15_19_yrs,F_400_599_20_24_yrs,F_400_599_25_34_yrs,F_400_599_35_44_yrs,F_400_599_45_54_yrs,F_400_599_55_64_yrs,F_400_599_65_74_yrs,F_400_599_75_84_yrs,F_400_599_85ov,F_400_599_Tot,F_600_799_15_19_yrs,F_600_799_20_24_yrs,F_600_799_25_34_yrs,F_600_799_35_44_yrs,F_600_799_45_54_yrs,F_600_799_55_64_yrs,F_600_799_65_74_yrs,F_600_799_75_84_yrs,F_600_799_85ov,F_600_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot
LGA50080,397,45,42,52,55,103,42,21,5,762,290,46,35,40,52,88,93,37,8,689,59,66,64,97,110,184,372,286,53,1291,113,57,68,82,130,174,251,218,67,1160,150,124,117,159,154,265,270,162,47,1448,44,182,260,232,241,233,127,65,15,1399,13,121,236,249,266,231,79,26,10,1231,4,77,245,286,317,229,52,18,7,1235,6,35,157,240,242,178,33,16,3,910,0,18,147,280,311,192,26,16,4,994,3,28,102,199,226,170,39,6,5,778,135,140,200,218,162,117,89,92,43,1196,1214,939,1673,2134,2266,2164,1473,963,267,13093,318,43,116,142,115,211,52,30,6,1033,359,66,180,211,144,158,95,38,10,1261,85,80,170,201,220,322,448,226,99,1851,89,104,201,225,235,279,393,374,187,2087,143,188,321,397,424,373,291,190,82,2409,39,175,255,350,357,238,119,65,27,1625,5,55,141,188,268,164,42,21,12,896
LGA50210,737,145,131,96,100,114,51,21,8,1403,522,140,91,73,68,101,88,39,3,1125,150,156,157,152,124,257,493,286,52,1827,182,140,112,120,150,205,368,208,62,1547,250,261,214,170,206,246,352,168,40,1907,115,395,465,334,332,334,163,52,15,2205,61,335,633,449,481,381,109,22,9,2480,26,275,759,604,588,480,87,11,5,2835,6,140,587,508,461,325,55,5,0,2087,6,102,637,605,602,375,64,4,0,2395,4,61,511,682,639,370,60,10,0,2337,229,192,364,351,335,245,156,120,50,2042,2288,2342,4661,4144,4086,3433,2046,946,244,24190,644,146,363,358,376,439,85,25,17,2453,637,202,522,373,258,301,126,61,14,2494,176,229,326,331,290,495,544,276,58,2725,160,221,353,382,347,412,554,408,174,3011,200,401,594,607,601,532,314,178,65,3492,99,438,579,573,656,410,111,32,13,2911,31,266,490,377,456,292,38,10,6,1966
LGA50250,40,12,25,21,12,8,0,0,0,118,17,5,5,4,3,3,3,0,3,43,4,7,10,11,6,5,9,0,0,52,5,4,5,3,11,9,14,3,0,54,18,8,6,12,11,15,12,0,0,82,17,10,6,9,11,8,0,0,0,61,14,18,14,19,16,19,6,0,0,106,6,26,57,44,50,23,3,0,0,209,6,31,63,75,67,35,0,0,0,277,0,55,200,198,144,71,3,3,0,674,5,182,864,851,608,254,21,0,0,2785,22,116,349,301,236,104,14,0,0,1142,154,474,1604,1548,1175,554,85,6,3,5603,42,22,77,67,44,22,10,0,0,284,20,20,84,55,18,11,0,0,0,208,0,8,46,23,14,7,4,0,0,102,5,8,18,34,9,10,11,7,0,102,13,21,51,54,29,23,5,5,0,201,6,23,49,49,40,13,6,0,0,186,8,21,35,46,25,21,3,0,0,159
LGA50280,119,9,17,20,20,32,9,6,4,236,77,18,12,10,20,34,20,5,0,196,20,18,17,34,40,43,68,53,12,305,27,17,21,40,37,61,42,43,14,302,36,34,73,73,86,103,91,41,12,549,13,42,122,105,105,100,55,24,3,569,6,20,75,107,111,72,30,12,4,437,3,13,102,138,110,83,14,4,4,471,3,9,83,101,81,44,12,3,0,336,0,11,72,110,96,64,8,3,0,364,0,0,57,144,86,67,18,0,0,372,45,22,84,105,84,72,34,18,16,480,349,213,735,987,876,775,401,212,69,4617,87,18,53,50,44,66,17,3,9,347,98,7,74,97,61,53,29,11,5,435,25,27,63,82,64,79,84,61,20,505,17,20,85,100,87,98,94,57,21,579,30,50,125,149,156,137,86,33,19,785,7,40,124,136,131,86,41,12,12,589,3,16,75,102,94,64,15,8,0,377
LGA50350,188,44,30,11,24,25,15,5,3,345,103,44,19,20,11,32,34,13,3,279,28,33,42,47,49,70,105,105,20,499,24,52,23,28,48,60,83,76,38,432,22,60,59,36,55,66,81,64,18,461,28,79,110,81,82,97,30,16,3,526,12,69,107,135,100,98,25,3,3,552,4,47,109,156,116,117,16,3,4,572,0,34,123,130,116,86,16,3,0,508,3,25,162,184,152,97,11,0,0,634,0,17,142,199,158,86,9,4,0,615,37,37,71,69,70,58,36,29,9,416,449,541,997,1096,981,892,461,321,101,5839,120,21,87,79,59,83,17,3,3,472,121,39,60,85,65,48,36,15,9,478,47,43,52,79,68,107,144,100,20,660,21,47,53,76,80,103,171,174,77,802,32,65,133,129,165,144,85,72,22,847,15,77,125,135,137,93,25,19,3,629,7,60,92,115,116,62,20,7,0,479
LGA50420,654,203,172,135,103,126,74,25,7,1499,422,158,106,52,57,98,116,55,10,1074,107,186,191,156,136,263,530,403,97,2069,102,151,176,116,163,225,382,311,142,1768,85,286,329,234,271,314,388,203,83,2193,50,355,583,357,382,371,206,70,19,2393,21,277,707,464,422,369,114,33,9,2416,12,207,746,608,493,409,93,21,7,2596,9,104,576,560,399,293,54,10,7,2012,3,106,736,761,617,370,46,4,3,2646,0,59,727,934,707,382,63,10,3,2885,186,200,514,339,302,233,173,151,67,2165,1651,2292,5563,4716,4052,3453,2239,1296,454,25716,482,204,512,373,266,355,99,44,15,2350,486,212,293,342,200,244,153,80,51,2061,148,219,299,308,284,436,649,360,113,2816,110,184,298,316,271,423,625,569,365,3161,110,312,528,521,484,497,372,276,113,3213,56,389,548,506,514,399,112,44,32,2600,16,266,543,393,414,296,59,17,9,2013
LGA50490,326,122,116,77,59,86,43,19,6,854,235,76,55,49,43,49,55,41,5,608,60,106,110,79,105,137,276,233,49,1155,52,89,109,75,104,113,196,189,52,979,84,145,208,121,113,141,157,85,43,1097,58,211,365,190,202,171,80,41,12,1330,9,193,407,283,253,166,66,15,7,1399,6,141,471,358,291,213,49,10,5,1544,0,92,352,295,232,153,31,5,4,1164,3,70,459,441,315,148,22,0,0,1458,3,51,464,525,322,207,35,5,0,1612,112,192,381,299,238,165,124,98,50,1659,948,1488,3497,2792,2277,1749,1134,741,233,14859,286,147,381,222,147,181,70,18,7,1459,288,120,165,184,101,93,78,61,17,1107,82,118,144,156,149,254,354,225,61,1543,53,112,159,185,159,205,368,389,149,1779,70,217,351,281,264,221,178,122,59,1763,32,235,355,284,272,178,52,26,14,1448,14,159,313,195,226,158,21,12,6,1104
LGA50560,12,5,0,3,4,14,8,0,0,46,5,0,0,0,4,8,6,0,0,23,0,5,3,5,14,27,41,9,7,111,4,3,7,8,8,16,27,17,0,90,3,4,5,6,17,16,24,8,0,83,4,7,8,11,13,27,10,0,0,80,0,0,8,9,10,11,7,5,0,50,0,0,5,9,13,6,3,0,6,42,0,0,0,9,9,4,0,0,0,22,0,0,3,9,8,12,4,0,0,36,0,0,7,10,9,12,3,0,0,41,6,3,3,7,4,3,6,10,0,42,34,27,49,86,113,156,139,49,13,666,8,0,4,10,10,12,5,0,0,49,7,3,8,7,11,17,5,0,0,58,3,4,4,8,8,33,40,11,6,117,3,3,4,9,18,21,27,13,6,104,3,5,4,15,14,21,16,12,9,99,0,0,4,9,15,18,8,0,0,54,0,0,6,3,8,4,0,0,0,21
LGA50630,17,0,5,3,4,3,3,3,0,38,4,0,0,0,3,0,4,3,3,17,0,0,6,3,5,0,11,4,0,29,3,0,0,0,0,3,13,5,3,27,7,0,3,4,3,4,13,3,3,40,0,3,3,8,6,11,4,0,0,35,4,0,0,0,11,10,4,3,0,32,4,6,12,12,11,13,3,0,0,61,3,9,27,19,13,17,0,0,0,88,5,17,48,56,43,26,6,0,0,201,3,11,70,92,84,40,3,0,0,303,11,18,97,80,67,29,9,4,0,315,61,64,271,277,250,156,73,25,9,1186,14,0,13,27,10,20,0,0,0,84,7,5,14,13,6,4,4,0,0,53,3,0,6,14,3,9,19,0,0,54,3,0,7,7,7,8,10,8,5,55,3,4,7,22,17,14,3,7,0,77,4,4,4,4,15,15,3,0,0,49,4,4,9,6,8,3,0,0,0,34
LGA50770,11,0,3,0,10,4,3,0,0,31,8,0,3,7,0,6,11,0,0,35,0,3,3,6,8,12,18,14,4,68,0,0,3,4,10,18,17,11,4,67,3,4,7,13,9,14,10,4,6,70,3,3,11,16,15,9,8,7,0,72,0,3,7,11,14,15,11,0,0,61,0,0,5,12,18,12,5,0,0,52,0,3,7,5,9,8,0,0,0,32,0,3,11,9,21,10,0,0,0,54,0,0,0,15,12,10,4,0,0,41,5,4,7,13,8,4,5,0,0,46,30,23,67,111,134,122,92,36,14,629,8,0,5,8,8,13,3,0,0,45,9,0,15,8,11,8,13,5,0,69,0,0,10,15,13,28,16,9,0,91,3,7,3,10,14,13,16,11,13,90,3,3,12,25,13,12,20,10,4,102,3,0,10,9,15,15,8,0,0,60,0,3,4,9,7,9,3,0,0,35
