region_id,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1999_15_19_yrs,F_1500_1999_20_24_yrs,F_1500_1999_25_34_yrs,F_1500_1999_35_44_yrs,F_1500_1999_45_54_yrs,F_1500_1999_55_64_yrs,F_1500_1999_65_74_yrs,F_1500_1999_75_84_yrs,F_1500_1999_85ov,F_1500_1999_Tot,F_2000_more_15_19_yrs,F_2000_more_20_24_yrs,F_2000_more_25_34_yrs,F_2000_more_35_44_yrs,F_2000_more_45_54_yrs,F_2000_more_55_64_yrs,F_2000_more_65_74_yrs,F_2000_more_75_84_yrs,F_2000_more_85ov,F_2000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_199_15_19_yrs,P_1_199_20_24_yrs,P_1_199_25_34_yrs,P_1_199_35_44_yrs,P_1_199_45_54_yrs,P_1_199_55_64_yrs,P_1_199_65_74_yrs,P_1_199_75_84_yrs,P_1_199_85ov,P_1_199_Tot,P_200_299_15_19_yrs,P_200_299_20_24_yrs,P_200_299_25_34_yrs,P_200_299_35_44_yrs,P_200_299_45_54_yrs,P_200_299_55_64_yrs,P_200_299_65_74_yrs,P_200_299_75_84_yrs,P_200_299_85ov,P_200_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_599_15_19_yrs,P_400_599_20_24_yrs,P_400_599_25_34_yrs,P_400_599_35_44_yrs,P_400_599_45_54_yrs,P_400_599_55_64_yrs,P_400_599_65_74_yrs,P_400_599_75_84_yrs,P_400_599_85ov,P_400_599_Tot,P_600_799_15_19_yrs,P_600_799_20_24_yrs,P_600_799_25_34_yrs,P_600_799_35_44_yrs,P_600_799_45_54_yrs,P_600_799_55_64_yrs,P_600_799_65_74_yrs,P_600_799_75_84_yrs,P_600_799_85ov,P_600_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1999_15_19_yrs,P_1500_1999_20_24_yrs,P_1500_1999_25_34_yrs,P_1500_1999_35_44_yrs,P_1500_1999_45_54_yrs,P_1500_1999_55_64_yrs,P_1500_1999_65_74_yrs,P_1500_1999_75_84_yrs,P_1500_1999_85ov,P_1500_1999_Tot,P_2000_more_15_19_yrs,P_2000_more_20_24_yrs,P_2000_more_25_34_yrs,P_2000_more_35_44_yrs,P_2000_more_45_54_yrs,P_2000_more_55_64_yrs,P_2000_more_65_74_yrs,P_2000_more_75_84_yrs,P_2000_more_85ov,P_2000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA50080,3,37,139,182,249,138,31,17,4,800,0,10,71,115,143,77,18,5,0,439,0,9,46,116,153,123,10,7,0,464,0,4,16,53,78,40,12,8,0,211,84,38,75,107,100,110,81,98,59,752,1125,809,1731,2287,2486,2233,1592,1079,486,13828,715,88,158,194,170,314,94,51,11,1795,649,112,215,251,196,246,188,75,18,1950,144,146,234,298,330,506,820,512,152,3142,202,161,269,307,365,453,644,592,254,3247,293,312,438,556,578,638,561,352,129,3857,83,357,515,582,598,471,246,130,42,3024,18,176,377,437,534,395,121,47,22,2127,7,114,384,468,566,367,83,35,11,2035,6,45,228,355,385,255,51,21,3,1349,0,27,193,396,464,315,36,23,4,1458,3,32,118,252,304,210,51,14,5,989,219,178,275,325,262,227,170,190,102,1948,2339,1748,3404,4421,4752,4397,3065,2042,753,26921
LGA50210,5,144,494,341,359,263,24,6,0,1636,0,46,318,222,237,134,15,4,0,976,0,31,221,233,240,125,14,3,0,867,0,17,86,102,106,43,13,6,3,376,209,143,311,279,275,233,151,162,68,1831,2161,2284,4657,4178,4201,3679,1989,1171,418,24738,1381,291,494,454,476,553,136,46,25,3856,1159,342,613,446,326,402,214,100,17,3619,326,385,483,483,414,752,1037,562,110,4552,342,361,465,502,497,617,922,616,236,4558,450,662,808,777,807,778,666,346,105,5399,214,833,1044,907,988,744,274,84,28,5116,92,601,1123,826,937,673,147,32,15,4446,31,419,1253,945,947,743,111,17,5,4471,6,186,905,730,698,459,70,9,0,3063,6,133,858,838,842,500,78,7,0,3262,4,78,597,784,745,413,73,16,3,2713,438,335,675,630,610,478,307,282,118,3873,4449,4626,9318,8322,8287,7112,4035,2117,662,48928
LGA50250,6,23,45,45,35,20,3,0,0,177,6,35,63,50,50,15,0,0,0,219,0,37,120,77,49,26,3,0,0,312,3,29,140,89,67,19,0,0,0,347,21,29,97,72,59,32,4,0,0,314,130,276,825,661,439,219,49,12,0,2611,82,34,102,88,56,30,10,0,0,402,37,25,89,59,21,14,3,0,3,251,4,15,56,34,20,12,13,0,0,154,10,12,23,37,20,19,25,10,0,156,31,29,57,66,40,38,17,5,0,283,23,33,55,58,51,21,6,0,0,247,22,39,49,65,41,40,9,0,0,265,12,49,102,89,85,43,6,0,0,386,12,66,126,125,117,50,0,0,0,496,0,92,320,275,193,97,6,3,0,986,8,211,1004,940,675,273,21,0,0,3132,43,145,446,373,295,136,18,0,0,1456,284,750,2429,2209,1614,773,134,18,3,8214
LGA50280,0,10,51,72,64,45,11,3,0,256,0,0,24,45,48,29,3,3,0,152,0,0,22,37,41,25,5,3,0,133,0,4,9,19,30,18,6,3,0,89,30,16,70,77,68,57,27,49,33,427,297,208,775,966,888,757,418,246,119,4674,206,27,70,70,64,98,26,9,13,583,175,25,86,107,81,87,49,16,5,631,45,45,80,116,104,122,152,114,32,810,44,37,106,140,124,159,136,100,35,881,66,84,198,222,242,240,177,74,31,1334,20,82,246,241,236,186,96,36,15,1158,9,36,150,209,205,136,45,20,4,814,3,23,153,210,174,128,25,7,4,727,3,9,107,146,129,73,15,6,0,488,0,11,94,147,137,89,13,6,0,497,0,4,66,163,116,85,24,3,0,461,75,38,154,182,152,129,61,67,49,907,646,421,1510,1953,1764,1532,819,458,188,9291
LGA50350,0,36,109,97,104,71,5,0,0,422,3,13,99,78,71,42,0,3,3,312,0,4,104,100,100,51,3,0,0,362,0,0,44,51,43,20,0,0,0,158,30,26,48,56,54,41,48,42,41,386,396,431,1006,1080,1062,865,554,435,178,6007,308,65,117,90,83,108,32,8,6,817,224,83,79,105,76,80,70,28,12,757,75,76,94,126,117,177,249,205,40,1159,45,99,76,104,128,163,254,250,115,1234,54,125,192,165,220,210,166,136,40,1308,43,156,235,216,219,190,55,35,6,1155,19,129,199,250,216,160,45,10,3,1031,4,83,218,253,220,188,21,3,4,994,3,47,222,208,187,128,16,6,3,820,3,29,266,284,252,148,14,0,0,996,0,17,186,250,201,106,9,4,0,773,67,63,119,125,124,99,84,71,50,802,845,972,2003,2176,2043,1757,1015,756,279,11846
LGA50420,3,186,674,432,418,282,39,11,3,2048,0,72,462,330,286,159,29,4,4,1346,0,26,471,392,324,212,27,3,0,1455,3,6,263,299,215,96,13,7,3,905,150,133,338,241,224,221,167,193,200,1867,1564,2209,5229,4453,3900,3620,2344,1608,908,25835,1136,407,684,508,369,481,173,69,22,3849,908,370,399,394,257,342,269,135,61,3135,255,405,490,464,420,699,1179,763,210,4885,212,335,474,432,434,648,1007,880,507,4929,195,598,857,755,755,811,760,479,196,5406,106,744,1131,863,896,770,318,114,51,4993,37,543,1250,857,836,665,173,50,18,4429,15,393,1420,1040,911,691,132,32,10,4644,9,176,1038,890,685,452,83,14,11,3358,3,132,1207,1153,941,582,73,7,3,4101,3,65,990,1233,922,478,76,17,6,3790,336,333,852,580,526,454,340,344,267,4032,3215,4501,10792,9169,7952,7073,4583,2904,1362,51551
LGA50490,4,116,380,229,226,134,17,6,0,1112,3,42,271,165,131,86,9,3,0,710,0,20,285,188,140,67,6,0,0,706,0,3,130,125,89,44,11,4,3,409,111,125,247,205,164,145,128,142,124,1391,943,1414,3181,2419,2068,1766,1292,1008,440,14531,612,269,497,299,206,267,113,37,13,2313,523,196,220,233,144,142,133,102,22,1715,142,224,254,235,254,391,630,458,110,2698,105,201,268,260,263,318,564,578,201,2758,154,362,559,402,377,362,335,207,102,2860,90,446,720,474,474,349,132,67,26,2778,23,352,720,478,479,324,87,27,13,2503,10,257,851,587,517,347,66,16,5,2656,3,134,623,460,363,239,40,8,4,1874,3,90,744,629,455,215,28,0,0,2164,3,54,594,650,411,251,46,9,3,2021,223,317,628,504,402,310,252,240,174,3050,1891,2902,6678,5211,4345,3515,2426,1749,673,29390
LGA50560,0,3,3,10,5,5,4,0,0,30,0,0,5,4,3,10,0,0,0,22,0,0,3,3,6,3,0,3,0,18,0,0,0,3,3,0,0,0,0,6,3,0,3,8,8,9,12,5,0,48,27,18,48,89,109,153,117,44,21,626,20,5,4,13,14,26,13,0,0,95,12,3,8,7,15,25,11,0,0,81,3,9,7,13,22,60,81,20,13,228,7,6,11,17,26,37,54,30,6,194,6,9,9,21,31,37,40,20,9,182,4,7,12,20,28,45,18,0,0,134,0,0,14,12,18,15,7,5,0,71,0,3,8,19,18,11,7,0,6,72,0,0,5,13,12,14,0,0,0,44,0,0,6,12,14,15,4,3,0,54,0,0,7,13,12,12,3,0,0,47,9,3,6,15,12,12,18,15,0,90,61,45,97,175,222,309,256,93,34,1292
LGA50630,0,3,9,13,18,11,3,0,5,62,0,3,11,12,11,5,0,0,0,42,0,5,15,12,8,3,4,0,0,47,0,0,13,8,7,6,0,0,0,34,3,9,10,19,12,10,0,9,0,72,41,37,118,157,122,108,46,24,10,663,31,0,18,30,14,23,3,3,0,122,11,5,14,13,9,4,8,3,3,70,3,0,12,17,8,9,30,4,0,83,6,0,7,7,7,11,23,13,8,82,10,4,10,26,20,18,16,10,3,117,4,7,7,12,21,26,7,0,0,84,8,4,9,6,19,13,4,3,0,66,4,9,21,25,29,24,6,0,5,123,3,12,38,31,24,22,0,0,0,130,5,22,63,68,51,29,10,0,0,248,3,11,83,100,91,46,3,0,0,337,14,27,107,99,79,39,9,13,0,387,102,101,389,434,372,264,119,49,19,1849
LGA50770,0,5,7,3,5,8,3,0,0,31,0,0,0,6,9,3,0,0,0,18,0,0,5,8,0,7,0,0,0,20,0,0,0,0,8,0,0,0,0,8,3,0,10,6,8,6,5,9,6,53,29,18,81,107,111,122,87,44,23,622,19,0,8,8,18,17,6,0,0,76,17,0,18,15,11,14,24,5,0,104,0,3,13,21,21,40,34,23,4,159,3,7,6,14,24,31,33,22,17,157,6,7,19,38,22,26,30,14,10,172,6,3,21,25,30,24,16,7,0,132,0,6,11,20,21,24,14,0,0,96,0,5,12,15,23,20,8,0,0,83,0,3,7,11,18,11,0,0,0,50,0,3,16,17,21,17,0,0,0,74,0,0,0,15,20,10,4,0,0,49,8,4,17,19,16,10,10,9,6,99,59,41,148,218,245,244,179,80,37,1251
