LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA50080,12,152,466,463,547,452,173,80,32,2365,6,56,261,336,372,307,99,31,14,1478,0,31,226,295,350,268,76,21,6,1280,0,13,125,224,273,225,47,16,0,924,0,11,145,256,348,273,65,29,4,1133,4,3,52,131,158,124,45,14,8,531,253,193,425,392,391,440,428,377,291,3178,2404,1767,3862,4182,4922,5119,4153,2350,1046,29805
LGA50210,18,467,1830,1248,1129,876,259,48,17,5895,3,216,1352,991,810,531,117,17,5,4044,0,112,1057,941,760,464,91,20,0,3445,0,45,655,621,544,337,62,3,3,2266,0,41,794,971,859,485,84,7,6,3249,4,16,239,442,366,197,50,19,3,1336,398,388,951,812,704,641,553,392,249,5083,4691,5239,13728,11323,9694,8139,5577,2567,917,61871
LGA50250,14,41,114,120,91,57,10,0,0,442,0,42,124,93,96,60,13,0,0,422,5,25,147,113,116,62,12,0,0,479,0,39,207,159,143,99,14,0,0,655,3,93,824,721,551,296,28,0,0,2523,0,73,916,903,715,343,36,0,0,2982,32,113,678,595,500,258,40,4,0,2214,244,560,3455,3058,2409,1355,198,31,7,11305
LGA50280,3,37,199,259,233,187,81,19,4,1023,0,21,112,153,130,103,41,7,4,570,0,8,93,152,117,86,27,8,3,490,0,0,52,101,94,70,17,3,3,333,0,4,79,162,139,66,30,5,0,483,0,0,30,99,82,58,29,3,3,296,118,36,160,221,176,175,102,78,43,1109,705,432,1754,2344,1962,1913,1249,577,225,11159
LGA50350,3,65,278,226,201,171,60,14,12,1035,0,36,197,210,189,128,44,6,0,813,0,13,215,208,214,110,18,4,3,782,0,9,154,164,126,102,16,3,0,569,0,6,177,285,221,127,33,3,0,845,0,0,44,109,112,53,13,3,0,328,59,60,141,140,143,136,119,115,93,1012,822,812,2252,2241,2092,1792,1283,760,334,12390
LGA50420,10,363,1484,956,882,710,231,60,26,4721,4,168,1241,807,675,514,147,20,3,3585,5,82,1026,825,655,476,112,6,3,3192,0,39,628,631,501,352,75,7,3,2233,0,31,927,1160,899,495,96,13,0,3627,0,10,309,558,435,229,51,11,7,1627,215,313,887,659,590,556,512,498,491,4728,3112,4258,12004,9610,8195,7276,5376,3162,1484,54483
LGA50490,6,269,1062,574,513,368,95,29,17,2938,0,135,750,470,345,252,61,12,0,2031,3,47,616,463,368,220,54,12,6,1775,0,33,429,300,222,147,31,6,0,1174,0,35,553,566,418,255,49,5,0,1883,3,10,145,283,207,96,23,3,12,774,240,433,1049,623,502,439,363,343,208,4200,1774,3307,8563,5796,4528,3982,2708,1821,817,33294
LGA50560,0,3,19,13,16,44,16,3,0,114,0,3,4,14,17,13,9,3,3,57,0,0,6,9,10,15,7,0,0,43,0,0,3,12,14,8,0,0,3,43,0,0,3,10,14,16,0,0,0,48,0,0,0,7,5,0,4,0,0,23,10,11,17,22,34,38,29,27,6,202,51,49,143,177,249,330,292,147,42,1475
LGA50630,0,4,9,10,10,11,5,0,0,56,0,5,23,17,28,14,3,0,0,86,0,0,24,13,29,14,3,0,0,86,0,8,14,28,24,16,0,0,0,99,0,6,41,53,59,29,0,0,0,185,0,0,14,28,18,10,5,0,0,72,5,6,26,21,37,26,20,15,5,153,70,73,230,279,304,240,155,72,14,1441
LGA50770,0,3,12,26,33,30,15,3,3,125,0,4,11,16,15,11,12,3,0,70,0,0,3,17,19,5,11,0,0,57,0,0,6,12,3,4,3,0,0,26,0,0,8,13,10,15,11,4,0,62,0,0,4,3,12,3,3,0,0,28,8,0,3,7,28,36,33,18,8,149,61,37,117,218,258,279,249,116,36,1377
